Operador,Cu (%),Fe (%),Zn (%),As (%),Mo (%),Pb (%),Ag (g/t)
PM  DVC  1,0.973,1.672,0.04,0.032,,0.01,7.37
PM  DVC  1,0.975,1.649,0.039,0.031,,0.01,7.44
PM  DVC  1,0.974,1.671,0.039,0.031,,0.01,7.12
PM  DVC  1,0.972,1.643,0.039,0.034,,0.01,7.39
PM  DVC  1,0.984,1.631,0.038,0.03,,0.0,7.08
PM  DVC  1,0.969,1.626,0.038,0.03,,0.01,7.35
PM  DVC  1,0.979,1.642,0.038,0.03,0.061,0.01,7.13
PM  DVC  1,0.974,1.665,0.039,0.031,,0.01,7.18
PM  DVC  1,0.969,1.623,0.037,0.032,,0.0,7.59
PM  DVC  1,0.973,1.613,0.037,0.031,0.061,0.0,7.53
PM  DVC  1,0.971,1.619,0.039,0.031,0.061,0.0,8.18
PM  DVC  1,0.971,1.638,0.038,0.032,,0.01,7.19
PM  DVC  1,0.974,1.632,0.039,0.03,,0.0,7.2
PM  DVC  1,0.968,1.642,0.038,0.03,,0.01,4.58
PM  DVC  1,0.983,1.651,0.039,0.03,,0.01,4.69
PM  DVC  1,0.976,1.638,0.037,0.029,,0.01,4.79
PM  DVC  1,0.981,1.65,0.037,0.028,,0.01,5.58
PM  DVC  1,0.978,1.666,0.037,0.029,,0.01,5.64
PM  DVC  1,0.977,1.66,0.041,0.029,,0.01,5.5
PM  DVC  1,0.985,1.664,0.039,0.028,,0.01,5.14
PM  DVC  1,0.982,1.662,0.038,0.03,,0.01,4.4
PM  DVC  1,0.979,1.684,0.04,0.031,0.061,0.01,4.99
PM  DVC  1,0.982,1.648,0.038,0.031,0.06,0.01,4.74
PM  DVC  1,0.974,1.639,0.038,0.029,0.06,0.01,5.34
PM  DVC  1,0.974,1.629,0.038,0.03,0.06,0.01,4.7
PM  DVC  1,0.977,1.633,0.038,0.026,0.058,0.0,4.89
PM  DVC  1,,1.641,0.039,0.031,0.061,0.01,5.2
PM  DVC  1,0.965,1.626,0.036,0.027,0.061,0.0,4.7
PM  DVC  1,0.977,1.622,0.035,0.029,,0.0,4.79
PM  DVC  1,0.972,1.658,0.036,0.029,,0.01,5.29
PM  DVC  2,,1.69,0.032,0.029,0.051,0.01,4.09
PM  DVC  2,,1.681,,0.028,0.05,0.01,3.94
PM  DVC  2,,1.68,,0.027,0.05,0.01,3.89
PM  DVC  2,,1.672,,0.028,0.051,0.01,3.69
PM  DVC  2,,1.654,,0.028,0.051,0.01,4.23
PM  DVC  2,,1.652,,0.027,0.051,0.01,4.24
PM  DVC  2,,1.659,,0.027,0.051,0.01,4.75
PM  DVC  2,,1.64,,0.026,0.051,0.01,4.19
PM  DVC  2,,1.645,,0.028,0.049,0.01,4.04
PM  DVC  2,,1.619,,0.027,0.049,0.01,4.75
PM  DVC  2,,1.625,0.035,0.026,0.049,0.006,4.045
PM  DVC  2,,1.663,0.035,0.026,0.048,0.005,4.186
PM  DVC  2,,1.608,0.036,0.026,0.05,0.006,4.239
PM  DVC  2,,1.616,0.038,0.027,0.049,0.006,4.037
PM  DVC  2,,1.617,0.037,0.025,0.05,0.006,4.647
PM  DVC  2,,1.641,0.035,0.026,0.051,0.006,4.286
PM  DVC  2,,1.661,0.037,0.025,0.05,0.006,4.642
PM  DVC  2,,1.658,0.036,0.028,0.05,0.006,6.723
PM  DVC  2,,1.657,0.034,0.027,0.05,0.006,4.384
PM  DVC  2,,1.627,0.037,0.026,0.049,0.006,4.389
PM  DVC  2,,1.67,0.038,0.028,0.049,0.006,4.588
PM  DVC  2,,1.663,0.037,0.026,,0.006,4.184
PM  DVC  2,,1.628,0.037,0.026,0.049,0.005,5.041
PM  DVC  2,,1.663,0.036,0.026,0.05,0.004,4.737
PM  DVC  2,,1.658,0.038,0.026,0.05,0.005,4.984
PM  DVC  2,,1.653,0.038,0.028,0.051,0.005,4.897
PM  DVC  2,,1.657,0.036,0.027,0.049,0.004,5.33
PM  DVC  2,,1.639,0.036,0.027,0.049,0.005,4.897
PM  DVC  2,,1.607,0.038,0.028,0.049,0.004,5.196
PM  DVC  2,,1.655,0.038,0.029,0.049,0.004,5.393
RE AQ PMA,,1.799,0.038,0.027,0.052,0.005,6.3
RE AQ PMA,,1.794,0.037,0.027,0.051,0.004,6.4
RE AQ PMA,,1.8,0.038,0.028,0.049,0.004,6.2
RE AQ PMA,,1.764,0.038,0.026,0.05,0.004,6.5
RE AQ PMA,,1.827,0.039,0.027,0.05,0.004,6.3
RE AQ PMA,,1.809,0.037,0.027,0.049,0.004,6.5
RE AQ PMA,,1.784,0.037,0.027,0.053,0.004,6.3
RE AQ PMA,,1.779,0.037,0.027,0.049,0.004,6.3
RE AQ PMA,,1.804,0.037,0.027,0.053,0.005,6.4
RE AQ PMA,,1.831,0.038,0.027,0.053,0.004,6.5
RE AQ PMA,,1.836,0.038,0.026,0.054,0.004,6.4
RE AQ PMA,,1.827,0.038,0.026,0.053,0.004,6.5
RE AQ PMA,,1.808,0.034,0.026,0.052,0.004,6.4
RE AQ PMA,,1.807,0.036,0.026,0.052,0.004,6.3
RE AQ PMA,,1.819,0.036,0.026,0.054,0.004,6.1
RE AQ PMA,,1.796,0.036,0.026,0.053,0.004,6.0
RE AQ PMA,,1.794,0.036,0.026,0.054,0.004,6.0
RE AQ PMA,,1.818,0.035,0.027,0.053,0.004,5.9
RE AQ PMA,,1.838,0.036,0.026,0.053,0.004,6.1
RE AQ PMA,,1.813,0.036,0.026,0.053,0.004,6.0
RE AQ PMA,,1.816,0.035,0.026,0.054,0.004,5.9
RE AQ PMA,,1.815,0.036,0.026,0.054,0.004,5.8
RE AQ PMA,,1.82,0.035,0.026,0.052,0.004,6.1
RE AQ PMA,,1.804,0.035,0.026,0.051,0.006,5.7
RE AQ PMA,,1.792,0.036,0.026,0.053,0.005,5.8
RE AQ PMA,,1.792,0.034,0.026,0.052,0.004,5.5
RE AQ PMA,,1.793,0.033,0.025,0.052,0.004,5.5
RE AQ PMA,,1.811,0.035,0.026,0.054,0.004,5.5
RE AQ PMA,,1.811,0.037,0.026,0.053,0.005,5.5
RE AQ PMA,,1.813,0.036,0.027,0.054,0.004,5.5
Mano Ext,,,,,0.054,,
Mano Ext,,,,,0.054,,
Mano Ext,,,,,0.049,,
Mano Ext,,,,,0.051,,
Mano Ext,,,,,0.051,,
Mano Ext,,,,,0.051,,
Mano Ext,,,,,0.054,,
Mano Ext,,,,,0.058,,
Mano Ext,,,,,0.053,,
Mano Ext,,,,,0.055,,
Mano Ext,,,,,0.046,,
Mano Ext,,,,,0.051,,
Mano Ext,,,,,0.05,,
Mano Ext,,,,,0.052,,
Mano Ext,,,,,0.052,,
Mano Ext,,,,,0.053,,
Mano Ext,,,,,0.054,,
Mano Ext,,,,,0.055,,
Mano Ext,,,,,0.053,,
Mano Ext,,,,,0.053,,
Mano Ext,,,,,0.054,,
Mano Ext,,,,,0.054,,
Mano Ext,,,,,0.053,,
Mano Ext,,,,,0.052,,
Mano Ext,,,,,0.052,,
Mano Ext,,,,,0.053,,
Mano Ext,,,,,0.055,,
Mano Ext,,,,,0.055,,
Mano Ext,,,,,0.048,,
Mano Ext,,,,,0.046,,
Mano Ext,,,,,0.051,,
Mano Ext,,,,,0.056,,
Mano Ext,,,,,0.051,,
Mano Ext,,,,,0.051,,
Mano Ext,,,,,0.055,,
Mano Ext,,,,,0.047,,
Mano Ext,,,,,0.05,,
Mano Ext,,,,,0.051,,
Mano Ext,,,,,0.051,,
Mano Ext,,,,,0.057,,
Mano Ext,,,,,0.051,,
Mano Ext,,,,,0.051,,
Mano Ext,,,,,0.055,,
Mano Ext,,,,,0.052,,
Mano Ext,,,,,0.052,,
Mano Ext,,,,,0.055,,
Mano Ext,,,,,0.048,,
Mano Ext,,,,,0.054,,
Mano Ext,,,,,0.05,,
Mano Ext,,,,,0.05,,
Mano Ext,,,,,0.052,,
Mano Ext,,,,,0.051,,
Mano Ext,,,,,0.054,,
Mano Ext,,,,,0.055,,
Mano Ext,,,,,0.052,,
Mano Ext,,,,,0.049,,
Mano Ext,,,,,0.056,,
Mano Ext,,,,,0.054,,
Mano Ext,,,,,0.053,,
Mano Ext,,,,,0.051,,
Mano Ext,,,,,0.051,,
Mano Ext,,,,,0.048,,
Mano Ext,,,,,0.055,,
Mano Ext,,,,,0.052,,
Mano Ext,,,,,0.056,,
Mano Ext,,,,,0.055,,
Mano Ext,,,,,0.055,,
Mano Ext,,,,,0.053,,
Mano Ext,,,,,0.054,,
Mano Ext,,,,,0.051,,
Mano Ext,,,,,0.052,,
Mano Ext,,,,,0.055,,
Mano Ext,,,,,0.056,,
Mano Ext,,,,,0.055,,
Mano Ext,,,,,0.057,,
Mano Ext,,,,,0.055,,
Mano Ext,,,,,0.054,,
Mano Ext,,,,,0.053,,
Mano Ext,,,,,0.053,,
Mano Ext,,,,,0.055,,
Mano Ext,,,,,0.053,,
Mano Ext,,,,,0.057,,
Mano Ext,,,,,0.05,,
Mano Ext,,,,,0.051,,
Mano Ext,,,,,0.058,,
Mano Ext,,,,,0.058,,
Mano Ext,,,,,0.054,,
Mano Ext,,,,,0.055,,
Mano Ext,,,,,0.052,,
Mano Ext,,,,,0.053,,
Mano Ext,,,,,0.053,,
Mano Ext,,,,,0.054,,
Mano Ext,,,,,0.054,,
Mano Ext,,,,,0.055,,
Mano Ext,,,,,0.055,,
Mano Ext,,,,,0.055,,
Mano Ext,,,,,0.055,,
Mano Ext,,,,,0.054,,
Mano Ext,,,,,0.055,,
Mano Ext,,,,,0.054,,
